game,day,CDA.score,CH.score,CDA.score.marketshare,CH.score.marketshare,CDA.score.profit,CH.score.profit,CDA.score.transactionrate,CH.score.transactionrate,CDA.profit,CH.profit,CDA.trader,CH.trader,CDA.fee.registration,CDA.fee.information,CDA.fee.shout,CDA.fee.transaction,CDA.fee.profit,CH.fee.registration,CH.fee.information,CH.fee.shout,CH.fee.transaction,CH.fee.profit,global.equilibrium.price
0,0,+0.556,+0.686,+0.350,+0.650,+0.449,+0.551,+0.870,+0.857,+22.269,+27.300,+7.000,+13.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,1,+0.643,+0.598,+0.600,+0.400,+0.528,+0.472,+0.800,+0.923,+28.644,+25.570,+12.000,+8.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,2,+0.813,+0.398,+0.800,+0.200,+0.806,+0.194,+0.833,+0.800,+35.312,+8.488,+16.000,+4.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,3,+0.798,+0.431,+0.800,+0.200,+0.795,+0.205,+0.800,+0.889,+35.341,+9.127,+16.000,+4.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,4,+0.064,+0.908,+0.150,+0.850,+0.041,+0.959,+0.000,+0.914,+1.500,+35.249,+3.000,+17.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,5,+0.041,+0.928,+0.100,+0.900,+0.024,+0.976,+0.000,+0.909,+0.900,+36.110,+2.000,+18.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,6,+0.063,+0.892,+0.150,+0.850,+0.040,+0.960,+0.000,+0.865,+1.200,+29.000,+3.000,+17.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,7,+0.059,+0.918,+0.150,+0.850,+0.026,+0.974,+0.000,+0.930,+0.900,+34.133,+3.000,+17.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,8,+0.039,+0.938,+0.100,+0.900,+0.016,+0.984,+0.000,+0.930,+0.600,+36.300,+2.000,+18.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
0,9,+0.021,+0.950,+0.050,+0.950,+0.014,+0.986,+0.000,+0.914,+0.600,+42.000,+1.000,+19.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+92.456
